mean_rssi,num_active_bs,Latitude,Longitude,hour
-122.76,25,51.2111778259,4.4175133705,9
-122.28,25,51.2206916809,4.3969035149,13
-125.95121951219512,41,51.2175292969,4.4174351692,9
-119.71428571428571,7,51.230682373,4.4091734886,11
-123.0,22,51.2039031982,4.3893284798,8
-122.125,24,51.2359428406,4.4259767532,9
-126.78125,32,51.1942710876,4.4185900688,11
-120.57575757575758,33,51.2180175781,4.4215068817,14
-121.76,25,51.2161102295,4.4092898369,14
-122.5925925925926,27,51.2323455811,4.4028835297,10
-126.38709677419355,31,51.1942596436,4.4182066917,14
-129.77272727272728,22,51.1873727,4.4252263,21
-118.0,1,51.2214164734,4.4430785179,9
-128.15384615384616,26,51.1943321228,4.4185800552,19
-125.06451612903226,31,51.2032051086,4.389398098,7
-119.0,5,51.2240142822,4.4157867432,10
-125.0,1,51.2309837341,4.4090600014,9
-126.63157894736842,19,51.2202603,4.3666603,17
-121.63157894736842,19,51.2304229736,4.4050750732,12
-124.59375,32,51.2041397095,4.388071537,7
-128.57692307692307,26,51.2009315491,4.4188432694,14
-126.78571428571429,14,51.1860401,4.4260577,17
-123.42857142857143,28,51.2161254883,4.4100832939,15
-130.23076923076923,26,51.2014961243,4.4237766266,9
-124.55,20,51.2276535034,4.4094748497,9
-105.0,2,51.2288780212,4.4163064957,10
-129.07142857142858,28,51.1942710876,4.4186582565,19
-122.8,25,51.2067985535,4.431801796,11
-125.0,9,51.2111742,4.3952839,14
-121.52941176470588,17,51.2019958496,4.4007401466,13
-104.0,3,51.2035713196,4.4180831909,13
-106.0,1,51.2230567932,4.4162316322,16
-95.42857142857143,7,51.23097229,4.4250001907,11
-135.0,1,51.2028656006,4.4149451256,8
-121.21212121212122,33,51.2306289673,4.4028201103,7
-127.88,25,51.1944198608,4.4185767174,7
-121.0,4,51.2211303711,4.4051418304,8
-124.0,24,51.2197532654,4.4089765549,17
-118.85,20,51.2060470581,4.3982067108,14
-111.8,5,51.2264251709,4.4005851746,16
-121.13636363636364,22,51.2053146362,4.390288353,12
-134.0,1,51.2072105408,4.4096865654,7
-127.57692307692308,26,51.1943778992,4.4186067581,6
-120.9,10,51.2118543,4.3942626,7
-120.88571428571429,35,51.2182769775,4.4053401947,18
