mean_rssi,num_active_bs,Latitude,Longitude,hour
-82.3,10,2.23,5.23,2
-81.0,10,2.23,5.23,2
-79.7,10,2.23,5.23,2
-78.5,10,2.23,5.23,2
-78.1,10,2.23,5.23,2
-78.3,10,2.23,5.23,2
-77.9,10,2.23,5.23,2
-77.6,10,2.23,5.23,2
-78.0,10,2.23,5.23,2
-77.7,10,2.23,5.23,2
-77.7,10,2.23,5.23,2
-78.7,10,2.23,5.23,2
-78.9,10,2.23,5.23,2
-78.4,10,2.23,5.23,2
-77.7,10,2.23,5.23,2
-77.9,10,2.23,5.23,2
-78.9,10,2.23,5.23,2
-77.1,10,2.23,5.23,2
-76.8,10,2.23,5.23,2
-76.7,10,2.23,5.23,2
-77.1,10,2.23,5.23,2
-79.0,10,2.23,5.23,2
-79.2,10,2.23,5.23,2
-77.8,10,2.23,5.23,2
-77.7,10,2.23,5.23,2
-79.3,10,2.23,5.23,2
-78.4,10,2.23,5.23,2
-81.6,10,2.23,5.23,2
-78.4,10,2.23,5.23,2
-79.6,10,2.23,5.23,2
-78.4,10,2.23,5.23,2
-78.1,10,2.23,5.23,2
-80.8,10,2.23,5.23,2
-80.0,10,2.23,5.23,2
-80.7,10,2.23,5.23,2
-81.0,10,2.23,5.23,2
-80.9,10,2.23,5.23,2
-77.8,10,2.23,5.23,2
-78.5,10,2.23,5.23,2
-79.5,10,2.23,5.23,2
-78.0,10,2.23,5.23,2
-78.0,10,2.23,5.23,2
-77.9,10,2.23,5.23,2
-78.0,10,2.23,5.23,2
-77.9,10,2.23,5.23,2
-76.8,10,2.23,5.23,2
-76.9,10,2.23,5.23,2
-77.3,10,2.23,5.23,2
-78.3,10,2.23,5.23,2
-77.9,10,2.23,5.23,2
-77.0,10,2.23,5.23,2
-76.7,10,2.23,5.23,2
-76.8,10,2.23,5.23,2
-76.7,10,2.23,5.23,2
-76.7,10,2.23,5.23,2
-78.6,10,2.23,5.23,2
-77.8,10,2.23,5.23,2
-78.2,10,2.23,5.23,2
-78.3,10,2.23,5.23,2
-78.4,10,2.23,5.23,2
-77.4,10,2.23,5.23,2
-77.8,10,2.23,5.23,2
-76.7,10,2.23,5.23,2
-76.6,10,2.23,5.23,2
-76.3,10,2.23,5.23,2
-76.1,10,2.23,5.23,2
-76.4,10,2.23,5.23,2
-78.3,10,2.23,5.23,2
-76.9,10,2.23,5.23,2
-77.3,10,2.23,5.23,2
-76.7,10,2.23,5.23,2
-75.5,10,2.23,5.23,2
-75.8,10,2.23,5.23,2
-75.6,10,2.23,5.23,2
-75.5,10,2.23,5.23,2
-75.6,10,2.23,5.23,2
-74.5,10,2.23,5.23,2
-75.5,10,2.23,5.23,2
-77.1,10,2.23,5.23,2
-74.8,10,2.23,5.23,2
-75.4,10,2.23,5.23,2
-74.4,10,2.23,5.23,2
-75.2,10,2.23,5.23,2
-75.6,10,2.23,5.23,2
-75.7,10,2.23,5.23,2
-74.8,10,2.23,5.23,2
-77.7,10,2.23,5.23,2
-79.2,10,2.23,5.23,2
-77.3,10,2.23,5.23,2
-77.2,10,2.23,5.23,2
-75.3,10,2.23,5.23,2
-75.9,10,2.23,5.23,2
-77.6,10,2.23,5.23,2
-77.7,10,2.23,5.23,2
-77.6,10,2.23,5.23,2
-79.2,10,2.23,5.23,2
-78.8,10,2.23,5.23,2
-78.4,10,2.23,5.23,2
-78.5,10,2.23,5.23,2
-77.2,10,2.23,5.23,2
-71.3,10,1.97,6.7,5
-71.8,10,1.97,6.7,5
-70.4,10,1.97,6.7,5
-70.2,10,1.97,6.7,5
-70.1,10,1.97,6.7,5
-69.3,10,1.97,6.7,5
-69.7,10,1.97,6.7,5
-69.0,10,1.97,6.7,5
-69.8,10,1.97,6.7,5
-69.3,10,1.97,6.7,5
-69.2,10,1.97,6.7,5
-69.3,10,1.97,6.7,5
-69.7,10,1.97,6.7,5
-70.2,10,1.97,6.7,5
-70.0,10,1.97,6.7,5
-70.1,10,1.97,6.7,5
-70.2,10,1.97,6.7,5
-70.6,10,1.97,6.7,5
-70.0,10,1.97,6.7,5
-69.9,10,1.97,6.7,5
-70.0,10,1.97,6.7,5
-70.3,10,1.97,6.7,5
-70.7,10,1.97,6.7,5
-70.8,10,1.97,6.7,5
-70.2,10,1.97,6.7,5
